%DH	INJV	Xt	Mt	XMt	NDH
0.67932	2	0	0.025	0.01686	1132.2031
-8.95192	10	4.20846E-4	0.02496	0.1015	-2983.97243
-9.64887	10	0.00252	0.02479	0.18673	-3216.28998
-9.83223	10	0.0046	0.02462	0.27256	-3277.40973
-9.25749	10	0.00666	0.02444	0.35897	-3085.82955
-9.19199	10	0.00871	0.02427	0.44598	-3063.99547
-8.87515	10	0.01075	0.0241	0.53358	-2958.38496
-8.55183	10	0.01277	0.02394	0.62177	-2850.60987
-7.71284	10	0.01478	0.02377	0.71055	-2570.94681
-7.34206	10	0.01677	0.0236	0.79992	-2447.35424
-6.84444	10	0.01875	0.02344	0.88988	-2281.47934
-6.2884	10	0.02071	0.02327	0.98044	-2096.13485
-5.95835	10	0.02266	0.02311	1.07158	-1986.11547
-5.41322	10	0.02459	0.02295	1.16332	-1804.40637
-5.12756	10	0.02651	0.02279	1.25565	-1709.18525
-4.42237	10	0.02841	0.02263	1.34856	-1474.12452
-3.84229	10	0.0303	0.02247	1.44208	-1280.76428
-3.77381	10	0.03217	0.02231	1.53618	-1257.93654
-3.27053	10	0.03403	0.02215	1.63087	-1090.17796
-3.16412	10	0.03588	0.022	1.72615	-1054.70514
-2.7389	10	0.03771	0.02184	1.82203	-912.96625
-2.97212	10	0.03952	0.02169	1.91849	-990.7061
-2.18168	10	0.04132	0.02154	2.01555	-727.22767
-2.54561	10	0.0431	0.02139	2.1132	-848.53564
-2.56404	10	0.04487	0.02124	2.21144	-854.67842
-2.40953	10	0.04663	0.02109	2.31027	-803.17743
-2.37606	10	0.04837	0.02094	2.40969	-792.02061
-2.34964	10	0.0501	0.02079	2.50971	-783.21306
-2.28632	10	0.05181	0.02064	2.61031	-762.10787
-2.31024	10	0.0535	0.0205	2.71151	-770.07939
%0	0	0.05519	0.02035	0	0	
