DH	INJV	Xt	Mt	XMt	NDH
0.02467	2	0	0.019	0.02218	41.11196
3.99202	10	4.20846E-4	0.01897	0.13355	1330.67348
3.9513	10	0.00252	0.01884	0.2457	1317.09953
3.80039	10	0.0046	0.01871	0.35863	1266.79716
3.67578	10	0.00666	0.01858	0.47233	1225.26112
3.49118	10	0.00871	0.01845	0.58682	1163.7283
3.1262	10	0.01075	0.01832	0.70208	1042.06584
2.95724	10	0.01277	0.01819	0.81811	985.74601
2.70892	10	0.01478	0.01806	0.93493	902.97243
2.44347	10	0.01677	0.01794	1.05253	814.49149
2.22842	10	0.01875	0.01781	1.1709	742.8057
1.88804	10	0.02071	0.01769	1.29005	629.34804
1.68351	10	0.02266	0.01756	1.40998	561.16954
1.62397	10	0.02459	0.01744	1.53068	541.32172
1.4802	10	0.02651	0.01732	1.65217	493.40016
1.36576	10	0.02841	0.0172	1.77443	455.25368
1.26931	10	0.0303	0.01708	1.89747	423.10484
1.24069	10	0.03217	0.01696	2.02128	413.56461
1.13574	10	0.03403	0.01684	2.14588	378.57936
1.07002	10	0.03588	0.01672	2.27125	356.67173
1.09002	10	0.03771	0.0166	2.3974	363.34009
1.07204	10	0.03952	0.01648	2.52433	357.34661
1.13644	10	0.04132	0.01637	2.65204	378.81464
1.11681	10	0.0431	0.01625	2.78053	372.26898
1.03322	10	0.04487	0.01614	2.90979	344.40738
0.98022	10	0.04663	0.01603	3.03983	326.74051
0.92891	10	0.04837	0.01591	3.17065	309.63696
0.97261	10	0.0501	0.0158	3.30224	324.20388
0.98208	10	0.05181	0.01569	3.43462	327.35883
0.87342	10	0.0535	0.01558	3.56777	291.14124
0	0	0.05519	0.01547	0	0	
